run_id,system,question_id,repetition,model,temperature,started_at,latency_ms,steps,answer,sparql_present,results_present,exact_accuracy,precision,recall,f1,completeness,hallucination_count,traceability,notes
1,semantic_agent,drug_type_distribution,1,,0,,,,,,,,,,,,,
2,semantic_agent,drug_type_distribution,2,,0,,,,,,,,,,,,,
3,semantic_agent,drug_type_distribution,3,,0,,,,,,,,,,,,,
4,base_model,drug_type_distribution,1,,0,,,,,,,,,,,,,
5,base_model,drug_type_distribution,2,,0,,,,,,,,,,,,,
6,base_model,drug_type_distribution,3,,0,,,,,,,,,,,,,
7,graph_rag,drug_type_distribution,1,,0,,,,,,,,,,,,,
8,graph_rag,drug_type_distribution,2,,0,,,,,,,,,,,,,
9,graph_rag,drug_type_distribution,3,,0,,,,,,,,,,,,,
10,semantic_agent,diabetes_mellitus_count,1,,0,,,,,,,,,,,,,
11,semantic_agent,diabetes_mellitus_count,2,,0,,,,,,,,,,,,,
12,semantic_agent,diabetes_mellitus_count,3,,0,,,,,,,,,,,,,
13,base_model,diabetes_mellitus_count,1,,0,,,,,,,,,,,,,
14,base_model,diabetes_mellitus_count,2,,0,,,,,,,,,,,,,
15,base_model,diabetes_mellitus_count,3,,0,,,,,,,,,,,,,
16,graph_rag,diabetes_mellitus_count,1,,0,,,,,,,,,,,,,
17,graph_rag,diabetes_mellitus_count,2,,0,,,,,,,,,,,,,
18,graph_rag,diabetes_mellitus_count,3,,0,,,,,,,,,,,,,
19,semantic_agent,abarelix_mechanism_target,1,,0,,,,,,,,,,,,,
20,semantic_agent,abarelix_mechanism_target,2,,0,,,,,,,,,,,,,
21,semantic_agent,abarelix_mechanism_target,3,,0,,,,,,,,,,,,,
22,base_model,abarelix_mechanism_target,1,,0,,,,,,,,,,,,,
23,base_model,abarelix_mechanism_target,2,,0,,,,,,,,,,,,,
24,base_model,abarelix_mechanism_target,3,,0,,,,,,,,,,,,,
25,graph_rag,abarelix_mechanism_target,1,,0,,,,,,,,,,,,,
26,graph_rag,abarelix_mechanism_target,2,,0,,,,,,,,,,,,,
27,graph_rag,abarelix_mechanism_target,3,,0,,,,,,,,,,,,,
28,semantic_agent,egfr_target_drugs,1,,0,,,,,,,,,,,,,
29,semantic_agent,egfr_target_drugs,2,,0,,,,,,,,,,,,,
30,semantic_agent,egfr_target_drugs,3,,0,,,,,,,,,,,,,
31,base_model,egfr_target_drugs,1,,0,,,,,,,,,,,,,
32,base_model,egfr_target_drugs,2,,0,,,,,,,,,,,,,
33,base_model,egfr_target_drugs,3,,0,,,,,,,,,,,,,
34,graph_rag,egfr_target_drugs,1,,0,,,,,,,,,,,,,
35,graph_rag,egfr_target_drugs,2,,0,,,,,,,,,,,,,
36,graph_rag,egfr_target_drugs,3,,0,,,,,,,,,,,,,
